Date,Name,Year,Letterboxd URI
2021-05-09,Green Room,2015,https://boxd.it/a75m
2022-06-07,The Hills Have Eyes,2006,https://boxd.it/1XNC
2022-06-07,I Saw the Devil,2010,https://boxd.it/FaK
2022-06-07,Antichrist,2009,https://boxd.it/1Inu
2022-06-07,Sinister,2012,https://boxd.it/2TnW
2022-06-07,Possessor,2020,https://boxd.it/fsJW
2022-06-07,The Host,2006,https://boxd.it/28ZY
2022-06-07,Hush,2016,https://boxd.it/d5ys
2022-06-07,Oculus,2013,https://boxd.it/4W9M
2022-06-07,Midnight Mass,2021,https://boxd.it/wvVA
2023-05-12,Funhouse,2019,https://boxd.it/lINM
2023-05-20,Girls Gone Dead,2012,https://boxd.it/3V7S
2023-05-20,Brain Dead,2007,https://boxd.it/1mAc
2023-05-20,Terrifier,2016,https://boxd.it/eRzg
2023-05-20,Bikini Swamp Girl Massacre,2014,https://boxd.it/bAlK
2023-05-20,Sin City: A Dame to Kill For,2014,https://boxd.it/2aV0
2023-05-20,Sin City,2005,https://boxd.it/2aVk
2023-05-20,Hellraiser,2022,https://boxd.it/bg7S
2023-05-20,It,1990,https://boxd.it/26tG
2023-05-20,It,2017,https://boxd.it/bC8e
2023-05-20,Gone Girl,2014,https://boxd.it/6hQu
2023-05-20,Reservoir Dogs,1992,https://boxd.it/2agc
2023-05-20,Pulp Fiction,1994,https://boxd.it/29Pq
2023-05-20,Inglourious Basterds,2009,https://boxd.it/1JzG
2023-05-20,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2023-05-20,Kill Bill: Vol. 2,2004,https://boxd.it/2au4
2023-05-20,Jackie Brown,1997,https://boxd.it/2aVO
2023-05-20,Death Proof,2007,https://boxd.it/27GG
2023-05-20,Hostel,2005,https://boxd.it/28ig
2023-05-20,Hostel: Part II,2007,https://boxd.it/28i6
2023-05-20,From Dusk Till Dawn,1996,https://boxd.it/29HQ
2023-05-20,Sukiyaki Western Django,2007,https://boxd.it/1PKg
2023-05-20,Terrifier 2,2022,https://boxd.it/oI10
2023-05-20,Evil Dead,2013,https://boxd.it/3GPq
2023-05-20,Stigmata,1999,https://boxd.it/1WA8
2023-05-20,The Mist,2007,https://boxd.it/22r2
2023-05-20,Suicide Squad,2016,https://boxd.it/9row
2023-05-20,Martyrs,2008,https://boxd.it/1Yqu
2023-05-20,The Ruins,2008,https://boxd.it/1UvA
2023-05-20,House of 1000 Corpses,2003,https://boxd.it/26uE
2023-05-20,Wolf Creek,2005,https://boxd.it/1XC0
2023-05-20,The Human Centipede (First Sequence),2009,https://boxd.it/18Tu
2023-05-20,The Human Centipede 2 (Full Sequence),2011,https://boxd.it/2yqg
2023-05-20,The Human Centipede 3 (Final Sequence),2015,https://boxd.it/3hRc
2023-05-20,Parasite,2019,https://boxd.it/hTha
2023-05-20,Fight Club,1999,https://boxd.it/2a9q
2023-05-20,Scream VI,2023,https://boxd.it/zdfW
